ETF,ETF_Display_Name,Sector,Representative_Stock_Ticker,Representative_Company_Name,Why_Selected,Permno,Date,Open,High,Low,Close,Price,Return,Volume
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-01,272.75,288.78,270.5,288.65,288.65,0.088547,11830412.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-02,287.75,293.88,286.09,287.57,287.57,-0.003742,6290294.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-03,285.54,287.94,281.05,281.45,281.45,-0.021282,4745711.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-04,283.2,283.5,275.36,276.44,276.44,-0.017801,3888182.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-07,277.12,281.96,275.89,281.65,281.65,0.018847,2438200.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-08,278.0,283.95,274.78,282.89,282.89,0.004403,2519489.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-09,284.66,287.12,283.88,284.53,284.53,0.005797,3088597.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-10,284.49,287.66,281.19,283.82,283.82,-0.002495,2647229.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-11,283.94,286.04,282.61,285.22,285.22,0.004933,1874273.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-14,284.06,285.6,281.27,284.54,284.54,-0.002384,2194187.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-15,282.52,282.64,277.05,277.37,277.37,-0.025199,2593607.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-16,277.0,281.71,274.085,274.51,274.51,-0.010311,2831256.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-17,277.02,279.55,274.66,275.17,275.17,0.002404,2534718.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-18,273.01,275.69,271.11,273.8,273.8,-0.004979,2532964.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-21,274.75,276.235,268.8,272.75,272.75,-0.003835,2207586.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-22,273.94,274.1299,269.67,270.2,270.2,-0.009349,1669867.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-23,270.3,273.76,269.1101,273.03,273.03,0.010474,1677971.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-24,271.6,274.69,269.2,269.3,269.3,-0.013662,1433718.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-25,271.52,273.62,268.83,272.56,272.56,0.012106,1291666.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-28,273.5,276.999,273.035,274.79,274.79,0.008182,1550820.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-29,275.0,280.13,273.43,280.03,280.03,0.019069,2065754.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-30,280.03,283.81,279.81,282.33,282.33,0.008213,1431019.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-08-31,283.64,284.805,280.84,281.13,281.13,-0.00425,2579127.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-01,284.8,287.07,283.65,286.25,286.25,0.018212,2336591.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-05,286.34,289.41,281.38,281.63,281.63,-0.01614,2515636.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-06,280.42,284.47,279.04,282.9,282.9,0.004509,1688876.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-07,280.93,283.48,277.6509,281.43,281.43,-0.005196,1593373.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-08,281.57,283.39,279.12,282.28,282.28,0.00302,1241276.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-11,284.56,285.0,279.95,282.05,282.05,-0.000815,1515311.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-12,280.26,284.715,279.82,281.81,281.81,-0.000851,1587363.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-13,280.21,282.74,273.0301,275.92,275.92,-0.020901,2119256.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-14,279.0,283.175,277.83,282.56,282.56,0.024065,2660520.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-15,281.87,281.87,277.33,279.15,279.15,-0.012068,4940871.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-18,279.06,282.75,278.85,280.94,280.94,0.006412,1363218.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-19,280.08,283.5,277.65,279.67,279.67,-0.004521,2313534.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-20,281.5,286.5985,278.08,278.61,278.61,-0.00379,2382011.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-21,276.21,276.21,271.6,272.03,272.03,-0.023617,2278483.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-22,272.01,275.1,271.61,273.06,273.06,0.003786,1708570.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-25,270.75,274.83,270.07,274.27,274.27,0.004431,1257517.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-26,271.15,273.42,269.15,269.52,269.52,-0.017319,1756427.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-27,271.0,274.23,269.2,272.71,272.71,0.011836,1991541.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-28,273.49,278.25,272.22,276.24,276.24,0.012944,1994725.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-09-29,279.08,279.55,271.36,273.0,273.0,-0.011729,2257825.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-02,272.64,276.81,270.24,271.72,271.72,-0.004689,1778235.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-03,271.21,273.58,267.54,268.97,268.97,-0.010121,2188005.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-04,267.5,267.82,262.78,265.03,265.03,-0.014649,2970215.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-05,263.9,265.94,260.43,260.8,260.8,-0.015961,2639337.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-06,261.57,268.4185,258.27,266.04,266.04,0.020092,2293464.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-09,266.04,271.61,264.6508,271.3,271.3,0.019772,1640764.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-10,272.65,275.0957,271.83,273.21,273.21,0.00704,2009107.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-11,273.53,274.4079,269.9,272.83,272.83,-0.001391,1538219.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-12,273.8,273.8,266.19,269.61,269.61,-0.011802,1910506.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-13,270.49,273.9399,266.1,267.94,267.94,-0.006194,1918648.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-16,272.12,273.972,269.58,270.79,270.79,0.010637,1678588.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-17,268.58,275.56,268.58,272.65,272.65,0.006869,2110205.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-10-18,268.5,269.0,258.75,259.22,259.22,-0.049257,4257056.0
