ETF,ETF_Display_Name,Sector,Representative_Stock_Ticker,Representative_Company_Name,Why_Selected,Permno,Date,Open,High,Low,Close,Price,Return,Volume,Growth_Index,Cumulative_Return,Running_Peak,Drawdown
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-11,106.49,106.82,104.933,105.79,105.79,-0.018099,17165897.0,2.8546164073322977,1.8546164073322977,3.1932617140492905,-0.10604996929223365
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-12,106.31,107.01,104.775,105.78,105.78,-9.5e-05,12613254.0,2.8543452187736014,1.8543452187736014,3.1932617140492905,-0.1061348945451509
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-15,105.51,105.925,104.58,105.07,105.07,0.001891,13715576.0,2.8597427855823025,1.8597427855823025,3.1932617140492905,-0.1044445956307356
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-16,104.63,104.81,102.02,102.52,102.52,-0.02427,14800200.0,2.79033682817622,1.79033682817622,3.1932617140492905,-0.12617972529477772
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-17,103.39,105.23,102.85,104.82,104.82,0.022435,14064742.0,2.8529380349163533,1.8529380349163533,3.1932617140492905,-0.1065755674317661
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-18,104.55,105.91,104.13,105.77,105.77,0.009063,12005609.0,2.8787942123268,1.8787942123268002,3.1932617140492905,-0.09847846179940023
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-19,106.57,107.05,105.82,106.26,106.26,0.004633,13359630.0,2.8921316659125105,1.8921316659125105,3.1932617140492905,-0.09430171251291675
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-22,105.84,107.04,104.88,104.97,104.97,-0.01214,12882000.0,2.8570211874883324,1.8570211874883324,3.1932617140492905,-0.10529688972300999
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-23,105.99,108.22,105.75,106.4,106.4,0.013623,14394440.0,2.8959423871254857,1.8959423871254857,3.1932617140492905,-0.09310834925170663
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-24,107.38,108.51,106.73,107.59,107.59,0.011184,16340293.0,2.9283306067830974,1.9283306067830974,3.1932617140492905,-0.08296567302973767
